GVKEY,CIQID,,Company Name
30683,IQ6179886,,"Templeton Dragon Fund, Inc. (NYSE:TDF)"
184157,IQ61761808,,MSG Networks Inc.
160893,IQ617490,,EnerSys (NYSE:ENS)
179577,IQ617309,,Enovis Corporation (NYSE:ENOV)
150158,IQ6167553,,John Hancock Preferred Income Fund (NYSE:HPI)
29912,IQ6158278,,"PIMCO Strategic Income Fund, Inc. (NYSE:RCS)"
31306,IQ6156757,,John Hancock Financial Opportunities Fund (NYSE:BTO)
196160,IQ61562447,,BioAmber Inc.
247881,IQ6136592,,GW Pharmaceuticals plc
32935,IQ61344787,,"Cardlytics, Inc. (NasdaqGM:CDLX)"
25283,IQ61243,,Kohl's Corporation (NYSE:KSS)
5073,IQ61206100,,General Motors Company (NYSE:GM)
183606,IQ61106447,,"Apollo Commercial Real Estate Finance, Inc. (NYSE:ARI)"
108645,IQ610837,,Ultra Petroleum Corp.
176282,IQ610501,,Spectra Energy Corp
6104,IQ61036,,International Paper Company (NYSE:IP)
35082,IQ610040536,,Diamond Eagle Acquisition Corp.
21145,IQ60978778,,"Otonomy, Inc. (NasdaqGS:OTIC)"
183603,IQ60839208,,"DigitalBridge Group, Inc. (NYSE:DBRG)"
39309,IQ605942702,,Stagwell Inc. (NasdaqGS:STGW)
19881,IQ60414516,,"2U, Inc. (NasdaqGS:TWOU)"
144066,IQ603843,,Collins Aerospace
183602,IQ60048201,,"Sorrento Therapeutics, Inc. (NasdaqCM:SRNE)"
2408,IQ598689,,TELUS Corporation (TSX:T)
141459,IQ598655,,Garmin Ltd. (NYSE:GRMN)
140023,IQ598622,,"Delcath Systems, Inc. (NasdaqCM:DCTH)"
141363,IQ598609,,NuStar Energy L.P. (NYSE:NS)
183388,IQ59665769,,"Starwood Property Trust, Inc. (NYSE:STWD)"
19832,IQ59516531,,"Aravive, Inc. (NasdaqGS:ARAV)"
34765,IQ595071570,,"Covetrus, Inc."
185824,IQ59505020,,"BankUnited, Inc. (NYSE:BKU)"
118122,IQ59502420,,Aptiv PLC (NYSE:APTV)
30622,IQ59320819,,"Yext, Inc. (NYSE:YEXT)"
184392,IQ5924972,,Green Dot Corporation (NYSE:GDOT)
36565,IQ590935798,,Nikola Corporation (NasdaqGS:NKLA)
18975,IQ59080165,,"Nimble Storage, Inc."
34873,IQ58995029,,"Lyft, Inc. (NasdaqGS:LYFT)"
35612,IQ58576575,,GFL Environmental Inc. (TSX:GFL)
3940,IQ58136545,,Dickenson Mines Ltd.
32608,IQ580699758,,OneSpaWorld Holdings Limited (NasdaqCM:OSW)
36175,IQ579312452,,Vertiv Holdings Co (NYSE:VRT)
34048,IQ578904663,,Livent Corporation (NYSE:LTHM)
34051,IQ578432369,,Garrett Motion Inc. (NasdaqGS:GTX)
35035,IQ577318955,,"Kontoor Brands, Inc. (NYSE:KTB)"
33955,IQ576158911,,Elanco Animal Health Incorporated (NYSE:ELAN)
33951,IQ576104379,,"Frontdoor, Inc. (NasdaqGS:FTDR)"
264414,IQ5684719,,"Momenta Pharmaceuticals, Inc."
155754,IQ5647906,,"Ashford Hospitality Trust, Inc. (NYSE:AHT)"
15634,IQ563937,,NatWest Group plc (LSE:NWG)
33533,IQ560561680,,"EVO Payments, Inc. (NasdaqGM:EVOP)"
33493,IQ559774885,,VectoIQ Acquisition Corp.
147661,IQ559148,,"ARO Liquidation, Inc."
33446,IQ558559575,,"Pluralsight, Inc."
34161,IQ558022022,,"Allogene Therapeutics, Inc. (NasdaqGS:ALLO)"
33621,IQ557661793,,GS Acquisition Holdings Corp
33243,IQ555811978,,"Wyndham Hotels & Resorts, Inc. (NYSE:WH)"
155323,IQ5551540,,Neuberger Berman High Yield Strategies Fund Inc. (NYSEAM:NHS)
33703,IQ553592932,,"Tilray, Inc. prior to merger with Aphria Inc."
4367,IQ553033,,Weatherford International plc (NasdaqGS:WFRD)
33449,IQ549735521,,"USA Compression Partners, LP (NYSE:USAC)"
32884,IQ547797906,,PagSeguro Digital Ltd. (NYSE:PAGS)
34636,IQ546623668,,Fox Corporation (NasdaqGS:FOXA)
328795,IQ546410010,,"Arcosa, Inc. (NYSE:ACA)"
10357,IQ54579163,,Tech Ops Inc.
21998,IQ54505568,,"Neothetics, Inc."
162559,IQ544741,,Lazard Ltd (NYSE:LAZ)
33066,IQ544510231,,"BrightSpire Capital, Inc. (NYSE:BRSP)"
32751,IQ544478878,,Industrial Logistics Properties Trust (NasdaqGS:ILPT)
164416,IQ544315,,iRobot Corporation (NasdaqGS:IRBT)
35747,IQ541596858,,"Oyster Point Pharma, Inc. (NasdaqGS:OYST)"
32961,IQ540843533,,"Evofem Biosciences, Inc. (OTCPK:EVFM)"
34053,IQ540151427,,"Resideo Technologies, Inc. (NYSE:REZI)"
32528,IQ539897555,,"Funko, Inc. (NasdaqGS:FNKO)"
157153,IQ5381745,,"Compass Minerals International, Inc. (NYSE:CMP)"
154673,IQ5381701,,Nuveen Credit Strategies Income Fund (NYSE:JQC)
32413,IQ537139461,,BP Midstream Partners LP
32355,IQ535225771,,Social Capital Hedosophia Holdings Corp.
27364,IQ53507768,,Twilio Inc. (NYSE:TWLO)
140756,IQ534643,,China Petroleum & Chemical Corporation (SEHK:386)
30560,IQ53307868,,Canada Goose Holdings Inc. (TSX:GOOS)
182701,IQ53262489,,Office Properties Income Trust (NasdaqGS:OPI)
162404,IQ5303664,,"LHC Group, Inc. (NasdaqGS:LHCG)"
32541,IQ530130829,,"CarGurus, Inc. (NasdaqGS:CARG)"
140759,IQ528420,,Ixia
140760,IQ528414,,Monsanto Company
29887,IQ528410,,WTW Delaware Holdings LLC
139665,IQ528325,,Moody's Corporation (NYSE:MCO)
213412,IQ528312,,"ASE Technology Holding Co., Ltd. (TWSE:3711)"
139025,IQ527694,,"Pinnacle Financial Partners, Inc. (NasdaqGS:PNFP)"
15055,IQ527692,,Canadian Natural Resources Limited (TSX:CNQ)
7977,IQ527542,,Xcel Energy Inc. (NasdaqGS:XEL)
138861,IQ527411,,Belmond Ltd.
138483,IQ527317,,Bruker Corporation (NasdaqGS:BRKR)
137433,IQ527134,,Mobile TeleSystems Public Joint Stock Company (MISX:MTSS)
137612,IQ527124,,Turkcell Iletisim Hizmetleri A.S. (IBSE:TCELL)
15782,IQ527074,,Prudential plc (LSE:PRU)
100465,IQ527037,,Sasol Limited (JSE:SOL)
60800,IQ526950,,"Sinclair Broadcast Group, Inc. (NasdaqGS:SBGI)"
3138,IQ526813,,"Coca-Cola Consolidated, Inc. (NasdaqGS:COKE)"
140541,IQ526573,,"Tapestry, Inc. (NYSE:TPR)"
111721,IQ526429,,"Eagle Bancorp, Inc. (NasdaqCM:EGBN)"
174744,IQ524568,,Evercore Inc. (NYSE:EVR)
10846,IQ523191,,Unilever PLC (LSE:ULVR)
187118,IQ52034495,,Yandex N.V. (NasdaqGS:YNDX)
6003,IQ518807,,Renesas Electronics America Inc.
149177,IQ518638,,"Nexstar Media Group, Inc. (NasdaqGS:NXST)"
185119,IQ51738175,,The KeyW Holding Corporation
187105,IQ515408,,"WageWorks, Inc."
15704,IQ515275,,Thomson Reuters Corporation (TSX:TRI)
8796,IQ51440675,,Provident National Corp.
185058,IQ51279444,,Tornier N.V.
178672,IQ5092377,,"CVR Energy, Inc. (NYSE:CVI)"
164109,IQ5027624,,"Linn Energy, Inc."
181745,IQ50206680,,CSI Compressco LP (NasdaqGS:CCLP)
178976,IQ4973712,,"Stride, Inc. (NYSE:LRN)"
18869,IQ49548455,,Wix.com Ltd. (NasdaqGS:WIX)
187491,IQ49389252,,"Oaktree Capital Group, LLC"
21515,IQ4932759,,Univar Solutions Inc. (NYSE:UNVR)
183257,IQ49276069,,CareFusion Corporation
33152,IQ49093148,,"Dropbox, Inc. (NasdaqGS:DBX)"
23856,IQ49068649,,"Fitbit, Inc."
186308,IQ48993116,,RPX Corporation
178870,IQ48815056,,SRC Energy Inc.
106112,IQ4876557,,New Gold Inc. (TSX:NGD)
154117,IQ4863405,,"BlackRock Corporate High Yield Fund, Inc. (NYSE:HYT)"
264387,IQ4803544,,"AngioDynamics, Inc. (NasdaqGS:ANGO)"
153130,IQ4793955,,AXIS Capital Holdings Limited (NYSE:AXS)
187697,IQ4773318,,"EPAM Systems, Inc. (NYSE:EPAM)"
180690,IQ47440900,,"Recon Technology, Ltd. (NasdaqCM:RCON)"
187958,IQ47411570,,"Inergy Midstream, L.P."
178846,IQ4741083,,"EnergySolutions, Inc."
7065,IQ473342,,"Marsh & McLennan Companies, Inc. (NYSE:MMC)"
192458,IQ47316581,,"Talmer Bancorp, Inc."
181104,IQ4730973,,"Allscripts Healthcare Solutions, Inc. (NasdaqGS:MDRX)"
12124,IQ472898,,Morgan Stanley (NYSE:MS)
160376,IQ4717668,,"Texas Roadhouse, Inc. (NasdaqGS:TXRH)"
180562,IQ47054664,,"Roadrunner Transportation Systems, Inc. (OTCPK:RRTS)"
27490,IQ47023047,,A Holdings Corporation
183822,IQ47014609,,"ARMOUR Residential REIT, Inc. (NYSE:ARR)"
180474,IQ46888354,,Zurn Elkay Water Solutions Corporation (NYSE:ZWS)
18159,IQ46539787,,"Agios Pharmaceuticals, Inc. (NasdaqGS:AGIO)"
153713,IQ4650548,,PIMCO High Income Fund (NYSE:PHK)
