ticker_q,sql
MAYHX,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MAYHX' AND dlycaldt IN ('2020-10-09');
MBB,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MBB' AND dlycaldt IN ('2021-07-22', '2021-01-21');"
MBD,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MBD' AND dlycaldt IN ('2022-04-19');
MC,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MC' AND dlycaldt IN ('2019-01-09');
MCD,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MCD' AND dlycaldt IN ('2020-02-20', '2020-03-23', '2021-01-04', '2020-01-13', '2020-06-10', '2020-06-23', '2020-04-06', '2019-02-05', '2019-08-28', '2020-10-16', '2020-07-01', '2021-02-12', '2020-07-28', '2021-01-08', '2021-01-15', '2021-01-22', '2021-01-25', '2021-02-05', '2020-03-17', '2019-12-18', '2022-02-17');"
MCHP,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MCHP' AND dlycaldt IN ('2021-02-16', '2020-03-18', '2019-12-31', '2020-08-07');"
MCK,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MCK' AND dlycaldt IN ('2022-02-24', '2022-03-14', '2022-03-02', '2022-03-08', '2022-01-20', '2022-02-07', '2021-03-23', '2020-04-08', '2022-03-09', '2020-11-13', '2021-09-02', '2021-10-28');"
MCO,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MCO' AND dlycaldt IN ('2021-01-28', '2021-01-28', '2021-01-11', '2020-08-28');"
MCRN,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MCRN' AND dlycaldt IN ('2020-11-18', '2020-11-03', '2020-11-03');"
MCS,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MCS' AND dlycaldt IN ('2021-03-31');
MD,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MD' AND dlycaldt IN ('2019-10-15');
MDB,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MDB' AND dlycaldt IN ('2021-02-25', '2021-03-16', '2022-03-15', '2021-09-13');"
MDIBY,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MDIBY' AND dlycaldt IN ('2020-03-19', '2020-11-13');"
MDLZ,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MDLZ' AND dlycaldt IN ('2020-09-23', '2020-02-20', '2020-02-14', '2022-04-12', '2021-02-11', '2021-02-11', '2020-07-27', '2022-01-18', '2021-03-31', '2020-07-28', '2019-12-18');"
MDNDF,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MDNDF' AND dlycaldt IN ('2021-09-30');
MDT,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MDT' AND dlycaldt IN ('2021-05-05', '2020-10-28', '2020-10-28', '2020-10-28', '2021-04-09', '2020-03-09', '2020-04-03', '2022-02-11', '2021-06-15', '2021-06-14', '2020-03-18', '2022-02-18', '2022-03-14', '2022-07-29', '2022-02-22', '2020-02-20', '2021-12-20', '2022-02-03', '2022-02-09', '2022-02-02', '2022-07-28', '2022-03-15', '2019-06-24', '2021-03-17', '2021-02-11', '2021-02-11', '2020-07-27', '2021-07-01', '2022-03-29', '2020-11-05', '2020-11-05', '2021-02-05', '2021-09-23', '2022-01-19', '2020-04-03');"
MDY,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MDY' AND dlycaldt IN ('2021-09-14', '2019-09-20');"
MDYG,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MDYG' AND dlycaldt IN ('2021-07-22', '2021-01-21', '2020-10-22', '2021-04-22', '2021-10-25', '2022-04-25');"
MDYV,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MDYV' AND dlycaldt IN ('2021-07-22', '2021-01-21', '2020-10-22', '2021-04-22', '2022-04-25');"
MED,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MED' AND dlycaldt IN ('2019-06-24', '2019-04-30');"
MEDP,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MEDP' AND dlycaldt IN ('2020-12-08', '2020-11-03', '2020-10-29', '2020-12-10', '2021-10-26', '2022-07-22');"
MELI,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MELI' AND dlycaldt IN ('2021-02-16', '2020-02-05', '2020-01-14', '2022-01-14', '2021-03-16', '2021-04-16', '2020-11-11', '2021-09-20', '2021-10-28');"
MEOH,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MEOH' AND dlycaldt IN ('2020-03-10');
MET,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MET' AND dlycaldt IN ('2021-03-05', '2021-04-16', '2021-04-05', '2021-04-05', '2021-06-01', '2021-06-14', '2021-06-02', '2020-03-18', '2020-02-20', '2021-09-17', '2021-09-07', '2021-09-07', '2021-02-11', '2021-02-11', '2021-02-12', '2021-02-05', '2021-01-15', '2021-01-11', '2020-11-20');"
MFC,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MFC' AND dlycaldt IN ('2022-02-24', '2022-06-22', '2022-04-05', '2020-05-05', '2022-06-28', '2022-02-17');"
MFG,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MFG' AND dlycaldt IN ('2020-03-18', '2020-11-13');"
MFGP,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MFGP' AND dlycaldt IN ('2020-03-18', '2020-11-13');"
MFYV,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MFYV' AND dlycaldt IN ('2021-10-25');
MGA,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MGA' AND dlycaldt IN ('2022-02-24', '2020-03-17');"
MGDDY,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MGDDY' AND dlycaldt IN ('2022-02-17');
MGM,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MGM' AND dlycaldt IN ('2020-03-18', '2021-09-17', '2020-04-02');"
MGNA,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MGNA' AND dlycaldt IN ('2022-03-14');
MGPI,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MGPI' AND dlycaldt IN ('2019-04-30');
MGY,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MGY' AND dlycaldt IN ('2021-03-04', '2021-03-31', '2022-04-21');"
MHK,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MHK' AND dlycaldt IN ('2020-03-11');
MINI,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MINI' AND dlycaldt IN ('2019-07-03');
MITEY,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MITEY' AND dlycaldt IN ('2020-03-18');
MITK,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MITK' AND dlycaldt IN ('2021-11-18');
MITSY,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MITSY' AND dlycaldt IN ('2020-11-13');
MJDLF,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MJDLF' AND dlycaldt IN ('2021-01-11');
MJNA,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MJNA' AND dlycaldt IN ('2021-02-05');
MKC,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MKC' AND dlycaldt IN ('2021-04-09', '2020-04-29');"
MKL,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MKL' AND dlycaldt IN ('2021-11-11', '2021-11-11', '2021-11-11', '2019-12-31', '2021-08-30', '2019-04-11', '2021-08-27', '2019-04-23', '2019-04-11', '2019-04-11', '2021-08-27', '2021-08-04', '2021-09-28');"
MKTX,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MKTX' AND dlycaldt IN ('2021-01-28', '2021-11-12', '2021-03-31', '2021-03-17', '2021-03-15', '2020-06-22', '2020-11-13');"
MLCO,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MLCO' AND dlycaldt IN ('2020-11-13');
MLYNF,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MLYNF' AND dlycaldt IN ('2021-01-12');
MMC,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MMC' AND dlycaldt IN ('2021-02-16', '2020-04-22', '2020-02-20', '2020-04-08', '2020-04-01', '2021-02-11', '2021-02-11', '2020-07-27', '2020-10-16', '2021-08-16', '2020-06-10');"
MMLP,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MMLP' AND dlycaldt IN ('2020-07-07', '2020-07-02', '2020-06-10', '2020-06-10', '2020-10-05', '2020-11-10', '2020-08-10');"
MMM,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MMM' AND dlycaldt IN ('2020-05-13', '2020-03-31', '2020-09-23', '2020-03-18', '2019-11-22', '2019-11-22', '2019-11-22', '2020-05-14', '2020-02-28', '2020-03-11', '2020-04-02', '2020-04-29');"
MMP,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MMP' AND dlycaldt IN ('2022-02-14', '2021-05-14', '2021-05-26', '2021-05-25', '2021-05-25', '2021-05-19', '2021-11-19', '2021-11-26', '2021-11-26', '2021-11-30', '2021-10-29', '2021-10-29', '2020-03-26', '2020-03-26', '2022-05-16', '2022-08-12', '2021-03-09', '2021-03-09', '2021-03-10', '2021-03-12', '2021-03-12', '2021-03-16', '2021-03-08', '2021-09-20', '2021-09-24', '2022-06-15', '2021-07-02', '2021-07-06', '2021-07-07', '2021-07-08', '2021-07-09', '2021-07-14', '2021-07-15', '2021-07-19', '2021-07-19', '2021-07-23', '2020-11-13', '2021-03-30', '2021-04-09', '2021-04-20', '2021-05-05', '2021-05-07', '2020-08-14', '2022-05-13', '2021-08-13', '2021-02-12', '2022-07-05', '2020-05-15', '2021-11-12', '2022-04-07', '2022-04-22', '2022-04-21', '2022-04-28');"
MNP,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MNP' AND dlycaldt IN ('2020-11-09');
MNST,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MNST' AND dlycaldt IN ('2020-03-27', '2022-02-14', '2020-02-20', '2022-04-14', '2022-03-09', '2020-10-15');"
MNTA,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MNTA' AND dlycaldt IN ('2020-09-25');
MO,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MO' AND dlycaldt IN ('2021-10-13', '2020-12-11', '2021-01-11', '2021-05-03', '2020-03-24', '2021-02-11', '2022-05-02', '2021-08-19', '2021-02-01', '2022-06-29', '2021-07-12', '2020-02-20', '2020-03-13', '2020-09-01', '2020-08-27', '2020-11-17', '2020-12-08', '2020-12-29', '2020-10-12', '2020-09-08', '2021-05-03', '2018-10-01', '2020-07-28', '2021-01-12', '2022-01-11', '2021-05-19');"
MONOY,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MONOY' AND dlycaldt IN ('2019-03-19', '2019-03-20', '2019-03-08');"
MORN,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MORN' AND dlycaldt IN ('2020-05-08');
MOS,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MOS' AND dlycaldt IN ('2021-02-16', '2020-02-07', '2020-03-18', '2020-04-03', '2020-10-22', '2020-10-22', '2022-07-28', '2022-07-29', '2020-04-02', '2022-08-01', '2022-08-04', '2022-08-05', '2019-12-06');"
MP,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MP' AND dlycaldt IN ('2022-05-05');
MPC,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MPC' AND dlycaldt IN ('2020-04-22', '2020-01-24', '2020-03-02', '2020-03-20', '2020-03-20');"
MPLN,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MPLN' AND dlycaldt IN ('2020-11-12');
MPLX,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MPLX' AND dlycaldt IN ('2020-07-02', '2020-09-16', '2021-04-14', '2020-08-28', '2020-06-10', '2020-06-10', '2020-06-11', '2021-12-21', '2021-05-13', '2021-03-01', '2021-02-19', '2021-01-19', '2021-02-12', '2020-10-05', '2020-11-09', '2020-08-11', '2020-08-04', '2020-08-06', '2020-08-04', '2021-11-08');"
MPW,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MPW' AND dlycaldt IN ('2022-02-22');
MPWR,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MPWR' AND dlycaldt IN ('2019-06-24');
MRCK,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MRCK' AND dlycaldt IN ('2020-06-23');
MRIN,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MRIN' AND dlycaldt IN ('2021-07-02');
MRK,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MRK' AND dlycaldt IN ('2020-11-13', '2020-11-13', '2020-03-27', '2021-04-09', '2021-12-03', '2022-06-01', '2021-01-28', '2021-01-28', '2021-01-13', '2021-11-26', '2020-02-20', '2020-02-19', '2020-02-06', '2021-10-05', '2020-02-20', '2020-03-23', '2020-10-07', '2020-09-23', '2020-01-13', '2021-07-28', '2021-07-27', '2021-07-27', '2021-03-05', '2021-03-05', '2020-04-15', '2021-09-16', '2021-03-17', '2021-03-10', '2021-02-25', '2020-07-02', '2022-02-28', '2021-02-05', '2021-09-30', '2020-03-30', '2021-07-19');"
MRNA,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MRNA' AND dlycaldt IN ('2021-07-22', '2021-03-15', '2022-03-16', '2021-01-29', '2021-01-29', '2021-01-22', '2021-01-22', '2021-01-14', '2021-01-08', '2021-01-08', '2021-01-14', '2020-05-22');"
MRVL,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MRVL' AND dlycaldt IN ('2021-04-21', '2021-02-09', '2021-11-15', '2022-02-10');"
MRWSY,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MRWSY' AND dlycaldt IN ('2020-03-18', '2020-11-13');"
MS,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MS' AND dlycaldt IN ('2021-11-24', '2021-01-20', '2021-01-20', '2021-04-14', '2021-03-26', '2021-04-21', '2020-12-16', '2021-05-13', '2021-02-16', '2021-03-01', '2021-02-23', '2021-06-02', '2021-06-14', '2021-06-02', '2020-03-18', '2022-06-28', '2021-08-09', '2022-03-23', '2020-03-19', '2021-03-17', '2021-03-05', '2021-03-05', '2021-03-01', '2021-03-01', '2021-02-11', '2021-02-11', '2022-03-03', '2022-02-02', '2022-01-14', '2022-04-27', '2022-01-07', '2021-02-17', '2021-03-24', '2022-03-09', '2020-04-02');"
MS$P,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MS$P' AND dlycaldt IN ('2022-08-10');
MSB,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MSB' AND dlycaldt IN ('2021-10-28');
MSBHY,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MSBHY' AND dlycaldt IN ('2020-07-15', '2020-07-14');"
MSCI,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MSCI' AND dlycaldt IN ('2021-02-16', '2020-04-28', '2021-06-17', '2021-02-16', '2020-05-01', '2020-05-07', '2020-10-09', '2020-01-27', '2020-01-10', '2020-07-14', '2020-12-22', '2020-04-28', '2022-02-03', '2022-02-28', '2021-03-18', '2020-01-28', '2020-01-29', '2019-12-23', '2019-12-24', '2020-04-16');"
MSFT,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MSFT' AND dlycaldt IN ('2021-11-24', '2020-09-30', '2020-09-02', '2022-01-25', '2022-02-23', '2020-08-28', '2020-06-26', '2021-08-06', '2021-08-30', '2021-08-11', '2021-06-22', '2021-06-22', '2021-06-22', '2020-03-27', '2020-03-11', '2021-02-16', '2020-12-01', '2020-10-09', '2022-05-13', '2022-05-13', '2021-05-03', '2019-12-31', '2022-02-24', '2022-02-10', '2022-02-10', '2022-02-10', '2022-02-10', '2022-02-10', '2022-02-10', '2022-02-10', '2020-04-20', '2020-04-27', '2020-12-10', '2021-02-25', '2021-02-12', '2021-02-12', '2021-02-12', '2021-02-12', '2021-02-12', '2021-02-12', '2021-02-12', '2021-02-12', '2021-02-12', '2021-11-15', '2021-11-15', '2021-11-15', '2021-11-15', '2021-11-15', '2021-01-28', '2020-02-13', '2020-02-13', '2020-02-13', '2020-02-13', '2020-02-13', '2020-02-13', '2020-02-13', '2020-02-13', '2020-02-13', '2020-02-13', '2020-02-13', '2020-02-13', '2020-02-13', '2020-02-13', '2020-02-13', '2020-02-13', '2020-02-13', '2020-02-13', '2020-02-26', '2020-01-16', '2020-01-09', '2020-01-09', '2021-03-11', '2021-03-19', '2021-03-19', '2021-12-06', '2020-03-03', '2020-03-18', '2020-03-26', '2020-06-30', '2021-02-10', '2022-01-05', '2020-02-27', '2020-06-11', '2020-05-01', '2020-11-24', '2020-02-24', '2020-03-23', '2021-06-25', '2021-06-25', '2021-06-10', '2020-07-28', '2020-07-28', '2022-01-21', '2022-01-27', '2020-10-22', '2020-01-09', '2020-01-24', '2020-02-14', '2020-09-23', '2020-09-14', '2021-10-18', '2022-05-24', '2022-05-24', '2020-02-20', '2020-03-17', '2020-03-20', '2020-03-20', '2020-03-20', '2020-03-20', '2020-03-12', '2020-03-12', '2020-03-12', '2020-03-12', '2020-03-12', '2020-03-12', '2020-03-12', '2020-03-12', '2020-03-12', '2020-03-12', '2020-03-12', '2020-03-12', '2020-03-12', '2020-03-06', '2020-03-06', '2020-03-06', '2020-03-06', '2020-03-06', '2020-03-06', '2020-03-06', '2020-03-06', '2020-03-24', '2020-03-17', '2020-03-23', '2020-07-14', '2022-03-10', '2021-12-09', '2022-01-04', '2020-01-13', '2021-06-22', '2021-05-03', '2021-12-09', '2020-06-23', '2021-02-23', '2020-09-10', '2020-03-26', '2022-06-14', '2020-06-29', '2020-04-06', '2020-11-19', '2020-11-19', '2021-04-30', '2022-08-11', '2022-08-11', '2022-08-11', '2022-08-11', '2022-08-11', '2022-08-11', '2022-08-11', '2022-08-11', '2022-08-11', '2022-08-11', '2022-08-11', '2022-08-11', '2022-08-17', '2022-08-17', '2022-08-17', '2022-03-21', '2021-05-12', '2021-02-25', '2021-02-25', '2021-03-04', '2021-03-26', '2021-04-30', '2020-06-10', '2021-09-13', '2019-12-31', '2021-07-27', '2021-07-27', '2020-05-26', '2020-04-06', '2019-08-28', '2019-02-05', '2020-10-02', '2021-09-16', '2021-03-17', '2021-04-14', '2020-07-27', '2022-08-10', '2020-06-19', '2021-08-16', '2021-08-16', '2021-08-16', '2021-08-16', '2021-08-16', '2021-08-16', '2021-08-16', '2021-08-16', '2021-08-16', '2021-08-16', '2021-08-31', '2021-08-30', '2021-07-21', '2022-03-09', '2022-04-15', '2020-04-20', '2020-11-12', '2021-12-31', '2021-09-08', '2021-08-19', '2020-03-31', '2020-03-02', '2022-02-28', '2021-04-30', '2020-08-31', '2020-06-22', '2021-01-14', '2021-01-22', '2022-02-09', '2022-02-28', '2021-06-21', '2021-05-26', '2021-05-26', '2021-03-01', '2021-02-05', '2020-08-07', '2020-09-04', '2020-11-17', '2020-11-17', '2020-11-17', '2020-11-17', '2020-11-17', '2020-11-17', '2020-11-17', '2020-11-17', '2020-11-20', '2021-10-27', '2021-10-19', '2021-09-09', '2019-12-24', '2020-02-24', '2020-04-09', '2022-07-15', '2020-09-10', '2021-09-03', '2022-02-07', '2021-03-04', '2021-03-31', '2021-12-02', '2021-06-18', '2019-12-18', '2020-09-15', '2020-09-03', '2022-04-12', '2020-02-28', '2020-02-20', '2020-02-21', '2022-01-05', '2021-07-02', '2022-06-09', '2020-04-13', '2020-03-09', '2020-05-18', '2020-05-15');"
MSI,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MSI' AND dlycaldt IN ('2021-02-16', '2020-06-22', '2020-09-23', '2021-01-04', '2022-08-01', '2022-08-09', '2020-08-27', '2022-01-03', '2022-01-26');"
MSM,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MSM' AND dlycaldt IN ('2020-01-09');
MSTR,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MSTR' AND dlycaldt IN ('2019-02-06');
MTB,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MTB' AND dlycaldt IN ('2020-02-20', '2021-01-04', '2020-01-27', '2020-09-08', '2022-01-11', '2020-04-02', '2019-12-18');"
MTBC,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MTBC' AND dlycaldt IN ('2021-05-20', '2021-05-20', '2021-05-20', '2021-05-20', '2022-05-16');"
MTCH,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MTCH' AND dlycaldt IN ('2022-01-18', '2021-03-09', '2021-03-09', '2021-02-16', '2021-06-18', '2021-12-01', '2020-10-09', '2020-10-13', '2021-02-25', '2021-02-25', '2021-02-25', '2021-05-04', '2021-05-19', '2021-06-18', '2021-03-09', '2021-02-24', '2021-08-09', '2021-10-19', '2021-04-07', '2020-11-13', '2022-06-10', '2022-04-20');"
MTD,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MTD' AND dlycaldt IN ('2019-12-18');
MTDR,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MTDR' AND dlycaldt IN ('2021-06-24', '2020-01-10', '2019-12-10');"
MTH,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MTH' AND dlycaldt IN ('2019-05-15', '2019-06-04');"
MTN,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MTN' AND dlycaldt IN ('2020-02-25');
MTSC,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MTSC' AND dlycaldt IN ('2020-03-31', '2020-04-06', '2020-01-09');"
MTSI,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MTSI' AND dlycaldt IN ('2020-09-02', '2020-01-29', '2019-12-30');"
MTX,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MTX' AND dlycaldt IN ('2021-12-15', '2020-11-13', '2020-09-29', '2020-09-24');"
MU,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MU' AND dlycaldt IN ('2020-11-18', '2020-11-03', '2020-11-03', '2021-01-15', '2020-09-04', '2020-10-01', '2020-10-02', '2020-10-30', '2020-11-16', '2021-12-21');"
MUB,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MUB' AND dlycaldt IN ('2021-10-06');
MUFG,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MUFG' AND dlycaldt IN ('2020-11-13');
MUR,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MUR' AND dlycaldt IN ('2020-11-19', '2020-11-20', '2020-11-19', '2020-11-20', '2021-02-02', '2021-02-02');"
MYE,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MYE' AND dlycaldt IN ('2020-08-25');
MYL,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MYL' AND dlycaldt IN ('2019-12-06');
MZDAY,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MZDAY' AND dlycaldt IN ('2020-03-18');
MZOR,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='MZOR' AND dlycaldt IN ('2018-12-27');
NABZY,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='NABZY' AND dlycaldt IN ('2020-11-13');
NAT,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='NAT' AND dlycaldt IN ('2022-06-16');
NATI,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='NATI' AND dlycaldt IN ('2020-03-18', '2019-06-24');"
NBIX,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='NBIX' AND dlycaldt IN ('2020-12-21', '2021-03-09', '2021-03-09', '2020-07-21');"
NBL,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='NBL' AND dlycaldt IN ('2020-10-06', '2020-10-06');"
NBLX,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='NBLX' AND dlycaldt IN ('2020-07-08', '2020-07-07', '2020-07-02', '2020-08-12', '2020-08-28', '2020-06-10', '2020-10-22', '2020-10-05', '2020-11-09', '2020-08-11', '2020-08-10', '2020-08-04', '2020-08-04');"
NBR,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='NBR' AND dlycaldt IN ('2022-06-16', '2022-04-11');"
NCLH,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='NCLH' AND dlycaldt IN ('2020-03-17', '2021-03-01', '2020-05-11');"
NCLTY,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='NCLTY' AND dlycaldt IN ('2022-01-10', '2021-12-09', '2020-03-12', '2020-03-11', '2021-09-17');"
NCMGF,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='NCMGF' AND dlycaldt IN ('2021-01-11');
NDAQ,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='NDAQ' AND dlycaldt IN ('2021-05-06', '2020-04-28', '2020-05-01', '2020-01-24', '2020-02-14', '2020-07-14', '2021-11-18', '2021-11-18', '2022-02-28', '2019-12-23', '2021-12-06', '2021-04-29');"
NEE,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='NEE' AND dlycaldt IN ('2021-11-16', '2021-02-16', '2020-03-20', '2020-03-24', '2020-03-24', '2020-03-20', '2022-02-22', '2020-07-21', '2021-12-14', '2020-04-28', '2021-05-18', '2020-01-02', '2022-03-07', '2020-05-20', '2020-05-04', '2020-11-17', '2020-11-02', '2021-06-15', '2020-10-23', '2020-01-14', '2020-01-28', '2020-02-14', '2020-02-20', '2020-03-23', '2020-07-14', '2022-03-15', '2022-06-16', '2021-12-15', '2022-06-21', '2022-06-21', '2021-04-16', '2019-12-31', '2020-02-10', '2021-03-05', '2019-02-05', '2019-08-28', '2021-03-10', '2020-07-27', '2021-05-18', '2020-10-16', '2020-09-25', '2021-07-30', '2022-01-19', '2021-07-21', '2020-08-07', '2021-09-15', '2021-09-30', '2019-12-23', '2021-06-08', '2021-06-17', '2020-08-28', '2022-06-15');"
NEE$Q,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='NEE$Q' AND dlycaldt IN ('2022-04-21', '2022-04-22', '2022-04-18', '2022-04-25');"
NEM,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='NEM' AND dlycaldt IN ('2021-02-16', '2020-05-13', '2020-03-26', '2020-03-31', '2020-06-29', '2020-11-18', '2020-11-12', '2021-01-11');"
NEO,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='NEO' AND dlycaldt IN ('2020-03-02', '2021-12-30', '2021-11-09', '2022-03-30');"
NEOG,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='NEOG' AND dlycaldt IN ('2020-10-13', '2019-06-24');"
NEWFX,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='NEWFX' AND dlycaldt IN ('2021-06-03');
NEWT,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='NEWT' AND dlycaldt IN ('2021-08-30');
NEX,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='NEX' AND dlycaldt IN ('2022-06-16', '2022-04-11');"
NFFFX,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='NFFFX' AND dlycaldt IN ('2021-12-17');
