ticker_q,sql
ACN,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='ACN' AND dlycaldt IN ('2021-01-12', '2021-01-12', '2020-11-04', '2020-11-04', '2021-04-09', '2022-02-15', '2020-04-27', '2021-05-14', '2020-09-01', '2020-03-26', '2020-03-26', '2020-05-01', '2020-05-07', '2020-11-17', '2022-09-14', '2022-09-07', '2021-06-25', '2021-05-13', '2022-08-15', '2020-01-09', '2020-02-14', '2022-02-22', '2020-02-20', '2020-07-14', '2021-08-09', '2019-12-30', '2020-09-10', '2020-11-13', '2021-04-30', '2021-04-30', '2020-08-14', '2021-08-19', '2022-05-13', '2020-02-10', '2020-11-02', '2020-07-15', '2021-03-17', '2021-11-17', '2020-07-27', '2021-08-13', '2022-02-02', '2022-02-28', '2021-02-12', '2021-01-12', '2021-01-07', '2021-01-08', '2021-01-11', '2021-09-23', '2021-09-02', '2019-12-23', '2020-04-30', '2020-04-30', '2020-05-15', '2020-08-27', '2021-11-26', '2020-01-08', '2020-01-09');"
ACSAY,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='ACSAY' AND dlycaldt IN ('2020-11-13');
ACST,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='ACST' AND dlycaldt IN ('2021-03-16');
AD,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='AD' AND dlycaldt IN ('2020-11-19');
ADA-USD,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='ADA-USD' AND dlycaldt IN ('2021-10-23', '2021-05-11', '2021-05-13', '2021-05-10');"
ADBE,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='ADBE' AND dlycaldt IN ('2021-03-11', '2021-06-10', '2020-11-24', '2020-11-12', '2020-11-24', '2020-11-12', '2021-03-24', '2021-03-24', '2020-03-27', '2021-02-16', '2021-05-20', '2021-10-27', '2021-01-28', '2020-11-19', '2021-03-17', '2020-03-23', '2021-08-09', '2021-06-22', '2020-11-19', '2020-11-19', '2020-12-31', '2021-03-30', '2021-03-30', '2020-06-03', '2021-07-21', '2021-03-25', '2021-10-14', '2021-09-02', '2022-06-10', '2022-02-18', '2020-04-09', '2021-12-15', '2021-12-15', '2019-12-18');"
ADC,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='ADC' AND dlycaldt IN ('2020-07-22', '2020-09-29', '2020-07-30');"
ADDDYY,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='ADDDYY' AND dlycaldt IN ('2021-02-17');
ADDYY,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='ADDYY' AND dlycaldt IN ('2021-01-28', '2021-03-05', '2020-02-13', '2019-06-24', '2019-01-29', '2020-08-04');"
ADI,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='ADI' AND dlycaldt IN ('2022-09-12', '2020-02-20', '2022-07-22', '2021-02-19');"
