permno,secinfostartdt,secinfoenddt,securitybegdt,securityenddt,securityhdrflg,hdrcusip,hdrcusip9,cusip,cusip9,primaryexch,conditionaltype,exchangetier,tradingstatusflg,securitynm,shareclass,usincflg,issuertype,securitytype,securitysubtype,sharetype,securityactiveflg,delactiontype,delstatustype,delreasontype,delpaymenttype,ticker,tradingsymbol,permco,siccd,naics,icbindustry,nasdcompno,nasdissuno,issuernm,yyyymmdd,dlycaldt,dlydelflg,dlyprc,dlyprcflg,dlycap,dlycapflg,dlyprevprc,dlyprevprcflg,dlyprevdt,dlyprevcap,dlyprevcapflg,dlyret,dlyretx,dlyreti,dlyretmissflg,dlyretdurflg,dlyorddivamt,dlynonorddivamt,dlyfacprc,dlydistretflg,dlyvol,dlyclose,dlylow,dlyhigh,dlybid,dlyask,dlyopen,dlynumtrd,dlymmcnt,dlyprcvol,shrstartdt,shrenddt,shrout,shrsource,shrfactype,shradrflg,disexdt,disseqnbr,disordinaryflg,distype,disfreqtype,dispaymenttype,disdetailtype,distaxtype,disorigcurtype,disdivamt,disfacpr,disfacshr,disdeclaredt,disrecorddt,dispaydt,dispermno,dispermco,vwretd,vwretx,ewretd,ewretx,sprtrn
14593.0,2017-12-28,2022-06-30,1980-12-12,2022-06-30,Y,03783310,037833100,03783310,037833100,Q,RW,S,A,APPLE INC; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,AAPL,AAPL,7.0,3571.0,334220,TECH,60000006.0,8.0,APPLE INC,20140307.0,2014-03-07,N,530.44,TR,473146645.16,BP,530.75,TR,2014-03-06,473423161.75,PB,-0.000584079133301931,-0.000584079133301931,0.0,NA,D1,0.0,0.0,1.0,NO,7926663.0,530.44,526.05,531.98,530.42,530.44,531.09,79524.0,62.0,4204619121.7200003,2014-01-10,2014-03-27,891989.0,OBS,NA,N,,,,,,,,,,,,,,,,,,-0.00079504708992317,-0.00088773376774043,-0.0016428105300292,-0.0016647937009111,0.00053808407392353
14593.0,2017-12-28,2022-06-30,1980-12-12,2022-06-30,Y,03783310,037833100,03783310,037833100,Q,RW,S,A,APPLE INC; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,AAPL,AAPL,7.0,3571.0,334220,TECH,60000006.0,8.0,APPLE INC,20140313.0,2014-03-13,N,530.65,TR,473333962.85,BP,536.61,TR,2014-03-12,478650217.29,PB,-0.01110676282588845,-0.01110676282588845,0.0,NA,D1,0.0,0.0,1.0,NO,9205087.0,530.65,529.16,539.66,530.65,530.68,537.44,93279.0,63.0,4884679416.55,2014-01-10,2014-03-27,891989.0,OBS,NA,N,,,,,,,,,,,,,,,,,,-0.011145344004035,-0.0112569257617,-0.0088402861729264,-0.008986359462142,-0.011701102368534
14593.0,2017-12-28,2022-06-30,1980-12-12,2022-06-30,Y,03783310,037833100,03783310,037833100,Q,RW,S,A,APPLE INC; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,AAPL,AAPL,7.0,3571.0,334220,TECH,60000006.0,8.0,APPLE INC,20140328.0,2014-03-28,N,536.86,TR,462636420.7,BP,537.46,TR,2014-03-27,479408407.94,PB,-0.001116362147880773,-0.001116362147880773,0.0,NA,D1,0.0,0.0,1.0,NO,7163009.0,536.86,534.25,538.9399,536.74,536.86,538.32,73568.0,63.0,3845533011.7400002,2014-03-28,2014-04-10,861745.0,OBS,NA,N,,,,,,,,,,,,,,,,,,0.0044738599099219,0.0043983650393784,0.0026587918400765,0.0026183016598225,0.0046402458101511
14593.0,2017-12-28,2022-06-30,1980-12-12,2022-06-30,Y,03783310,037833100,03783310,037833100,Q,RW,S,A,APPLE INC; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,AAPL,AAPL,7.0,3571.0,334220,TECH,60000006.0,8.0,APPLE INC,20140606.0,2014-06-06,N,645.57,TR,556081732.17,BP,647.35,TR,2014-06-05,557614990.35,PB,-0.002749671738626709,-0.002749671738626709,0.0,NA,D1,0.0,0.0,1.0,NO,12518493.0,645.57,644.47,651.26,645.48,645.57,649.9,137020.0,62.0,8081563526.01,2014-04-11,2014-06-08,861381.0,OBS,NA,N,,,,,,,,,,,,,,,,,,0.0051181926392019,0.0050060614012182,0.007429710123688,0.0073935161344707,0.004627768881619
14593.0,2017-12-28,2022-06-30,1980-12-12,2022-06-30,Y,03783310,037833100,03783310,037833100,Q,RW,S,A,APPLE INC; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,AAPL,AAPL,7.0,3571.0,334220,TECH,60000006.0,8.0,APPLE INC,20140730.0,2014-07-30,N,98.15,TR,587709146.05,BP,98.38,TR,2014-07-29,589086355.46,PB,-0.002337873551534865,-0.002337873551534865,0.0,NA,D1,0.0,0.0,1.0,NO,33010601.0,98.15,97.67,98.7,98.13,98.14,98.44,182023.0,61.0,3239990488.15,2014-07-11,2014-09-25,5987867.0,OBS,NA,N,,,,,,,,,,,,,,,,,,0.00054264557547867,0.00037912078551017,0.0012381884735078,0.0011675482382998,6.0915252106497e-05
14593.0,2017-12-28,2022-06-30,1980-12-12,2022-06-30,Y,03783310,037833100,03783310,037833100,Q,RW,S,A,APPLE INC; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,AAPL,AAPL,7.0,3571.0,334220,TECH,60000006.0,8.0,APPLE INC,20140801.0,2014-08-01,N,96.13,TR,575613654.71,BP,95.6,TR,2014-07-31,572440085.2,PB,0.005543933054393305,0.005543933054393305,0.0,NA,D1,0.0,0.0,1.0,NO,48519302.0,96.13,94.81,96.62,96.13,96.14,94.9,262292.0,60.0,4664160501.26,2014-07-11,2014-09-25,5987867.0,OBS,NA,N,,,,,,,,,,,,,,,,,,-0.0034466958604753,-0.0034869012888521,-0.0043252920731902,-0.0044235233217478,-0.0028591111768037
14593.0,2017-12-28,2022-06-30,1980-12-12,2022-06-30,Y,03783310,037833100,03783310,037833100,Q,RW,S,A,APPLE INC; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,AAPL,AAPL,7.0,3571.0,334220,TECH,60000006.0,8.0,APPLE INC,20140808.0,2014-08-08,N,94.74,TR,567290519.58,BP,94.48,TR,2014-08-07,565733674.16,PB,0.00275190516511431,0.00275190516511431,0.0,NA,D1,0.0,0.0,1.0,NO,41908482.0,94.74,93.28,94.82,94.73,94.74,94.26,211818.0,61.0,3970409584.68,2014-07-11,2014-09-25,5987867.0,OBS,NA,N,,,,,,,,,,,,,,,,,,0.010299598798156,0.010272888466716,0.0073410547338426,0.0073080747388303,0.011531392112374
14593.0,2017-12-28,2022-06-30,1980-12-12,2022-06-30,Y,03783310,037833100,03783310,037833100,Q,RW,S,A,APPLE INC; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,AAPL,AAPL,7.0,3571.0,334220,TECH,60000006.0,8.0,APPLE INC,20140826.0,2014-08-26,N,100.889,TR,604109913.763,BP,101.54,TR,2014-08-25,608008015.18,PB,-0.006411266495962182,-0.006411266495962182,0.0,NA,D1,0.0,0.0,1.0,NO,33151995.0,100.889,100.86,101.5,100.89,100.9,101.42,181095.0,60.0,3344671623.555,2014-07-11,2014-09-25,5987867.0,OBS,NA,N,,,,,,,,,,,,,,,,,,0.0021821211557835,0.0021710523869842,0.0042959046550095,0.004282888956368,0.0010510931024328
14593.0,2017-12-28,2022-06-30,1980-12-12,2022-06-30,Y,03783310,037833100,03783310,037833100,Q,RW,S,A,APPLE INC; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,AAPL,AAPL,7.0,3571.0,334220,TECH,60000006.0,8.0,APPLE INC,20140902.0,2014-09-02,N,103.3,TR,618546661.1,BP,102.5,TR,2014-08-29,613756367.5,PB,0.007804878048780488,0.007804878048780488,0.0,NA,D4,0.0,0.0,1.0,NO,53939562.0,103.3,102.72,103.74,103.29,103.3,103.06,241581.0,60.0,5571956754.599999,2014-07-11,2014-09-25,5987867.0,OBS,NA,N,,,,,,,,,,,,,,,,,,3.2976884540403e-05,-3.3204320061486e-05,0.0017110349144787,0.0016183671541512,-0.00054408324649558
14593.0,2017-12-28,2022-06-30,1980-12-12,2022-06-30,Y,03783310,037833100,03783310,037833100,Q,RW,S,A,APPLE INC; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,AAPL,AAPL,7.0,3571.0,334220,TECH,60000006.0,8.0,APPLE INC,20140903.0,2014-09-03,N,98.94,TR,592439560.98,BP,103.3,TR,2014-09-02,618546661.1,PB,-0.04220716360116167,-0.04220716360116167,0.0,NA,D1,0.0,0.0,1.0,NO,125420671.0,98.94,98.58,103.2,98.93,98.94,103.1,638712.0,61.0,12409121188.74,2014-07-11,2014-09-25,5987867.0,OBS,NA,N,,,,,,,,,,,,,,,,,,-0.0005816828343086,-0.0007183508714661,-0.0019097451586276,-0.0019752853550017,-0.00077911181142554
